id;name;email;phone_number;birth_date;sex;passport;country_code;address;account_creation;pay_method;account_status
JaiGonçalves;Jaime Gonçalves;jaigonçalves@li3.pt;;1964/07/15;M;TH091911;PT;Av da Fonte de Cima, 20736-475 Braga;2020/10/29 13:11:55;credit_card;active
MatiCampos;Matilde Campos;maticampos@li3.pt;;1973/03/27;F;QC268947;PT;Travessa da Pasteleira, 42426-701 Lixa;2012/04/21 22:28:00;credit_card;active
SLourenço;Sérgio Lourenço;slourenço@li3.pt;;1987/04/19;M;UQ652404;PT;Travessa do Calvário, S/N6871-993 Matosinhos;2011/04/25 08:05:42;debit_card;active
;Ângelo Fonseca;ângelfonseca193@li3.pt;929 049 414;1992/07/25;M;CI084276;PT;Av Paiva, S/N8474-576 Reguengos de Monsaraz;2019/01/08 06:47:54;debit_card;active
CMachado1477;Catarina Machado;cmachado1477@li3.pt;+351917086025;1984/01/26;F;ZA292170;PT;Av Sebastião Moura, S/N5528-349 Entroncamento;2018/03/01 12:42:01;;active
PetSantos208;Petra Santos;petsantos208@li3.pt;+351926326394;1971/05/26;F;JB977200;PT;Rua Castro, 5629558-058 Porto;2014/09/05 11:52:01;cash;JB977200
JúBatista1064;Júlia do Batista;júbatista1064@li3.pt;933799924;1970/04/28;F;RU707967;PT;Largo Lúcia Faria, 126125-099 Estremoz;10:38:01 AM/12/03/2001;debit_card;active
MáAmaral;Mário Amaral;máamaral@li3.pt;924040574;1990/07/13;M;MU816159;PT;R. de Costa, 114693-768 São João da Madeira;2015/04/28 11:34:54;cash;
ToFernandes;Tomás Fernandes;tofernandes@li3.pt;+351923057709;1985/07/14;M;YQ374301;PT;Rua Nacional 209, 20864-020 Vizela;2020/10/20 04:51:15;debit_card;
XNascimento693;Xavier Nascimento;xnascimento693@li3.pt;+351966159999;1978|04|30;M;PE863623;PT;Praça Sandro Borges, 573366-131 Ponta Delgada;2010/11/01 16:42:19;cash;active
YOliveira-Anjos;Yara Oliveira-Anjos;yoliveira-anjos@li3.pt;(351) 233429867;1955/10/28;F;;PT;Largo de Passos Manuel, 993271-172 Póvoa de Santa Iria;2018/08/09 10:46:41;cash;active
;Luana-Nair Morais;lmorais@li3.pt;+351924363329;1984/11/11;F;TG758878;PT;R. de Barros, 495126-989 Santa Maria da Feira;2011/03/02 23:19:32;cash;active
MafaGonçalves1683;Mafalda Gonçalves;mafagonçalves1683atli3.pt;+351927443357;1958/03/22;F;SI093616;PT;Largo Benedita Machado, 520338-365 Paredes;2014/12/27 06:45:59;debit_card;active
EnCorreia;Enzo Correia;encorreia@li3.pt;292 113 543;1969/12/01;M;HU098356;PT;Rua Andreia Pires, 6644815-458 Valongo;02:05:47 AM/07/03/2022;credit_card;active
GaspBranco448;Gaspar Branco;gaspbranco448@li3.pt;(351) 936392098;2002/02/20;M;KD022426;PT;Largo Anjos, 2172226-583 Santo Tirso;2016/02/09 04:14:14;credit_card;
NMiranda1334;Naiara Miranda;nmiranda1334@li3.pt;+351928707731;1983/11/20;F;TR751601;PT;Avenida Matias, 92350-545 Alcobaça;2010/05/23 19:56:35;credit_card;
GabriePereira352;;gabriepereira352@li3.pt;961 626 497;1977/06/13;M;ZC221029;PT;Largo Barbosa, S/N4172-648 Matosinhos;2020/05/01 15:06:14;cash;active
ToAzevedo;Tomás da Azevedo;toazevedo@li3.pt;(351) 960 179 429;1960/11/23;;KY051769;PT;Largo de Jesus, 2321169-486 Rio Maior;2017/01/15 09:43:35;credit_card;active
PSilva;Pedro Silva;psilva@li3.pt;(351) 936738199;1997/09/12;M;NH280013;PT;Praça Lara Lourenço, 512771-986 Guimarães;;credit_card;active
EmNascimento;Ema Nascimento;emnascimento@li3.pt;926 964 572;1966/07/20;F;IY203280;W;Rua Mauro Pacheco, 60234-726 Santa Comba Dão;2016/11/24 05:20:58;credit_card;active
NelMartins-Figueiredo6;Nelson Martins-Figueiredo;nelmartins-figueiredo6@li3.pt;;1975/04/26;M;SA085971;PT;Avenida Nelson Alves, 8550501-303 Estremoz;2018/02/05 08:21:35;cash;active
IsmAbreu1728;Ismael Abreu;ismabreu1728@li3.pt;963 611 540;1959/05/18;M;MQ834097;PT;Praça de S. Mamede, 832166-863 Valbom;2013/01/22 03:47:42;debit_card;
PJesus1992;Paulo Jesus;pjesus1992@li3.pt;(351) 917 769 756;2004/05/14;M;BZ047532;PT;Avenida de Pio XII, 790439-975 São Salvador de Lordelo;2018/05/02 06:43:09;cash;
AntóFernandes200;António Fernandes;antófernandes200@li3.pt;(351) 919 075 738;1975/08/03;M;;PT;Travessa da Arrábida, 8208905-349 Costa da Caparica;2013/07/14 14:27:36;credit_card;active
VítoAlmeida;Vítor Almeida;vítoalmeida@li3.pt;(351) 933 141 266;1986/12/29;M;GE738285;PT;Largo Fabiana Pinheiro, 283238-306 Ponta Delgada;2011/12/13 18:35:14;;active
LisandSá138;Lisandro Sá;lisandsá138@li3.pt;(351) 963 496 783;1990/03/22;M;NS873070;PT;Av Neto, S/N8729-212 Albufeira;2010/02/13 08:25:18;;active
DinLima519;Dinis da Lima;dinlima519@li3.pt;928985402;1985/08/11;M;DE111850;PT;Praça Morais, S/N4001-070 Loures;2019/06/17 00:17:10;credit_card;DE111850
JorDomingues562;Jorge Domingues;jordomingues562@li3.pt;+351968924660;1993/09/05;M;MJ174254;PT;Avenida do Mestre de Aviz, 355402-226 Setúbal;2020/10/24 01:58:34;;Active
ManuCardoso;Manuel Cardoso;manucardosoatli3.pt;+351962587281;1985/04/04;M;DF101100;PT;Rua das Escadas do Monte dos Judeus, 25572-007 Covilhã;2019/10/09 18:36:30;cash;active
MiAmorim49;;miamorim49@li3.pt;(351) 917 948 018;1994/01/16;M;FT048231;PT;Travessa dos Mastros, 802491-605 Santa Cruz;2019/11/07 06:12:59;debit_card;active
ValentinNunes;Valentina Nunes;valentinnunes@li3.pt;(351) 292 745 644;1981/01/30;F;;PT;Largo de Batista, 369713-557 Lagos;2018/11/17 03:57:11;credit_card;active
EduAntunes141;Eduarda da Antunes;eduantunes141@li3.pt;+351965284775;1975/07/03;F;EU437366;PT;R. de Vasco da Gama, 3767274-080 Alcácer do Sal;2020/10/07 14:36:40;;active
NoEsteves826;;noesteves826@li3.pt;+351916312069;1966/01/04;M;NS899286;PT;R. Mendes, 29720-445 Gandra;2015/05/07 19:44:42;debit_card;active
EriCoelho;Erika Coelho;ericoelho@li3.pt;(351) 930 091 257;1979/05/10;F;WS578892;PT;Alameda Vera Pacheco, 594768-849 Penafiel;2010/03/13 10:10:49;debit_card;WS578892
JéssCarneiro1420;Jéssica Carneiro;jésscarneiro1420@li3.pt;(351) 915 951 448;1995/03/22;F;;PT;Praça Érica Correia, 996232-923 Santa Maria da Feira;2010/08/12 07:11:08;cash;active
RafaMonteiro875;Rafael Monteiro;rafamonteiro875@li3.pt;926010567;1967/10/05;M;QF540339;PT;Av Marques, 6695521-897 Estremoz;2013/04/10 00:46:06;cash;QF540339
NBorges-Almeida1557;Noah Borges-Almeida;nborges-almeida1557@li3.pt;920226793;1958/03/20;;XC586857;PT;Travessa de Paiva, 9304443-810 Ourém;2020/01/13 20:31:00;credit_card;active
BrDomingues466;Bryan Domingues;brdomingues466@li3.pt;;1996/06/18;M;ZI680699;PT;Rua Alícia Correia, S/N8003-198 Gondomar;2019/10/26 12:15:51;debit_card;active
JoaquiLopes;Joaquim Lopes;joaquilopes@li3.pt;+351257501507;1974/03/23;M;YY274533;PT;Praça de Jesus, S/N3697-583 Guarda;;debit_card;active
IaMorais1721;Iara Morais;iamorais1721@li3.pt;+351961877637;03:01:56 PM/25/12/2010;F;PP130579;PT;Praça da Boa Viagem, 71582-960 Gandra;2012/08/07 09:54:43;debit_card;active
RRamos;;rramos@li3.pt;211056388;1981/10/12;F;GE395761;PT;R. Carminho Lima, 1708606-052 Torres Vedras;2011/06/25 15:34:54;cash;inactive
;David Reis;dreis1848@li3.pt;917537350;1988/05/31;M;HA648814;PT;Alameda de D. João II, 2372521-756 Tondela;2013/05/21 08:37:20;cash;active
DDomingues-Tavares;Dinis Domingues-Tavares;ddomingues-tavares@li3.pt;921 563 794;2001/07/22;M;BI877020;PT;Av das Necessidades, S/N3860-209 Covilhã;2016/02/12 01:30:19;;active
CrisDomingues;Cristiano Domingues;crisdomingues@li3.pt;931351288;1970/02/08;M;AL467479;PT;R. de Caselas, 610306-954 Paredes;2010/10/24 12:56:11;debit_card;AL467479
CarmiVieira584;Carminho Vieira;carmivieira584@li3.pt;(351) 228 051 319;1971/02/24;F;VD992760;PT;R. Carneiro, 9238852-666 Silves;2016/06/22 17:43:02;debit_card;VD992760
RuBrito1923;Rui Brito;rubrito1923@li3.pt;;1961/04/05;M;UB069834;PT;R. de Vímara Peres, 9405882-805 Caldas da Rainha;2015/10/10 02:20:19;cash;active
AAraújo981;André Araújo;aaraújo981@li3.pt;(351) 915524960;1975/01/10;;KH760492;PT;Rua Mahatma Gandhi, 375886-553 Covilhã;2013/06/17 04:50:58;credit_card;active
;Diego do Matos;dmatos1300@li3.pt;+351923049572;1993/02/15;M;RQ623306;PT;R. da Baleia, 783709-403 Agualva-Cacém;2019/12/19 19:01:11;debit_card;active
AnHenriques60;António Henriques;anhenriques60@li3.pt;930995658;1975/12/21;M;;PT;Rua de Francisco Borges, 168456-328 Gafanha da Nazaré;2014/04/25 06:06:17;cash;active
VítoFerreira-Carvalho;Vítor Ferreira-Carvalho;vítoferreira-carvalho@li3.pt;962149382;1965/08/31;M;AS458693;PT;R. Almeida, 356756-847 Loures;2015/04/05 15:24:49;;active
LeFaria1065;Leonardo Faria;lefaria1065@li3.pt;(351) 910660053;1970/02/24;M;GN764383;PT;Rua de São Vicente de Paulo, 749195-548 Covilhã;2011/05/12 05:30:41;;active
;Ismael Moreira;ismamoreira@li3.pt;(351) 294930374;1957/04/15;M;MF157934;PT;Avenida Erica Antunes, S/N5457-556 Alcácer do Sal;2019/01/05 16:51:12;debit_card;inactive
Caetana-MiMartins;Caetana-Mia Martins;caetana-mimartins@li3.pt;(351) 273 160 567;1981/06/22;F;UM316035;PT;R. de Soares, 498843-919 Cartaxo;2018/07/20 03:20:22;credit_card;UM316035
MGaspar;Madalena Gaspar;mgaspar@li3.pt;;1971/03/29;F;LD905691;PT;Largo da Banda de Ramalde, 8918897-456 Oliveira do Bairro;2016/07/24 21:39:50;credit_card;active
MarCoelho;Margarida Coelho;marcoelho@li3@pt;(351) 926 570 001;1978/06/27;F;JK155783;PT;Praça de Pinheiro, 92916-523 Fundão;2015/02/17 02:33:57;credit_card;active
BeatriFernandes;Beatriz Fernandes;beatrifernandes@li3.pt;(351) 210 793 805;1986/08/04;F;XU735760;PT;;2014/11/08 02:57:29;credit_card;active
Ângela-LunMoura1009;Ângela-Luna Moura;ângela-lunmoura1009@li3.pt;(351) 262780000;1985/01/20;F;SW529893;PT;Largo Guerreiro, 25551-253 Fundão;2012/01/06 03:34:20;;active
EdMelo-Mendes;Edgar Melo-Mendes;edmelo-mendes@li3.pt;;1994/11/19;M;PP847592;PT;Praça Afonso Garcia, S/N5572-193 Faro;2015/07/29 17:24:21;debit_card;active
ArtuFerreira111;Artur Ferreira;artuferreira111@li3.pt;(351) 961488913;1964/08/14;M;PX861622;PT;Rua do Seminário, 706711-985 Póvoa de Varzim;;cash;active
;Júlia Brito-Cruz;júbrito-cruz1924@li3.pt;965218113;2002/03/30;F;ZN449864;PT;Alameda Marcos Almeida, 91892-206 Entroncamento;2018/04/23 08:03:36;credit_card;active
YCoelho47;Yara Coelho;ycoelho47@li3.pt;(351) 930201147;1980/02/20;F;WA094397;PT;Travessa Patrícia Leite, 689594-319 Paredes;2012/10/11 20:17:47;cash;
RúbDomingues;Rúben Domingues;rúbdomingues@li3.pt;+351966539576;1950/11/18;M;IM224361;PT;R. Barbosa, 408724-903 Mangualde;2020/09/14 12:29:17;credit_card;IM224361
FabiaSousa1260;Fabiana Sousa;fabiasousa1260@li3.pt;920491692;1962/03/31;;ME356146;PT;Largo Patrícia Neves, 7730882-881 Portimão;2018/08/30 23:30:30;cash;active
CaLima;Camila Lima;calima@li3.pt;(351) 916940208;1958/01/30;F;BX811114;PT;Av Faria, 89675-473 Porto Santo;2010/08/31 21:46:41;cash;BX811114
ASousa572;Amélia Sousa;asousa572@li3.pt;(351) 216103824;1975/09/09;F;;PT;Rua Borges, 5919813-385 Barreiro;2013/03/29 21:01:22;cash;Inactive
PatríciRodrigues;Patrícia Rodrigues;patrícirodrigues@li3.pt;(351) 939153296;1998/12/25;;IM021217;PT;Rua Alice Cruz, 4591548-742 Vila Real;2013/03/16 10:37:10;cash;active
BAmorim-Simões520;Bernardo Amorim-Simões;bamorim-simões520@li3.pt;217652078;1976/08/02;M;;PT;Rua Correia, 77166-256 Castelo Branco;2015/10/01 22:15:30;credit_card;active
MatCruz;Matilde Cruz;matcruz@li3.pt;(351) 932926250;1976/04/16;F;NM213711;PT;Avenida Vicente Neto, 851487-904 Valpaços;2020/08/18 19:25:41;;ACTIVE
EdSousa;Eduardo da Sousa;edsousa@li3.pt;(351) 964627823;1994|05|04;M;YQ552009;PT;Alameda do Molhe, 5995812-722 Cartaxo;2012/04/01 23:40:33;cash;active
WiLeite;Wilson Leite;wileite@li3.pt;+351919306182;1958/07/23;M;TT565764;PT;Rua Teixeira, 707515-620 Felgueiras;2011/07/15 01:39:22;;active
TaMendes;;tamendes@li3.pt;(351) 924130241;1978/05/27;F;QQ225863;PT;Travessa Moura, 917709-860 Oliveira de Azeméis;2019/04/25 00:17:37;debit_card;active
FabiaReis583;Fabiana do Reis;fabiareis583@li3.pt;283 001 899;1995/09/07;F;UB723646;PT;Avenida do Carvalhido, 541250-748 Mirandela;09:17:50 PM/20/02/2010;credit_card;inactive
VicenSilva-Matias;Vicente Silva-Matias;vicensilva-matias@li3.pt;;1961/05/16;M;DW402176;PT;R. de Pinho, 681293-637 Lamego;2011/09/29 11:25:10;debit_card;active
AMonteiro1;Anita Monteiro;amonteiro1@li3.pt;(351) 281 453 374;1950/07/07;F;GY934856;PT;;2018/08/07 02:49:11;debit_card;active
MartRibeiro;Martim Ribeiro;martribeiro@li3.pt;(351) 209 433 542;1963/09/30;M;SP070858;W;Alameda Matos, 21682-374 Mirandela;2019/02/12 14:27:11;credit_card;inactive
Raquel-BeatriMacedo817;Raquel-Beatriz Macedo;raquel-;+351927534044;1992/02/08;F;BF981153;PT;Av das Oliveiras, 205744-466 Amora;2017/03/23 22:09:39;cash;active
;Artur Sousa;artusousa1113@li3.pt;+351922221203;1978/12/31;M;XV246559;PT;Avenida Fonseca, 266518-126 Alverca do Ribatejo;2020/10/19 20:09:17;cash;active
JuliaLoureiro;Juliana Loureiro;julialoureiro@li3@pt;+351240754302;1996/11/10;F;KJ978733;PT;Rua de Sá, 958841-901 Horta;2014/10/30 11:58:17;credit_card;active
SaTavares-Azevedo110;Santiago Tavares-Azevedo;satavares-azevedo110@li3.pt;(351) 962829147;1968/12/29;M;WA363651;PT;Avenida de Garcia, S/N3201-125 Alverca do Ribatejo;2016/07/27 01:39:43;credit_card;
ITorres;Irina Torres;itorres@li3.pt;(351) 962591375;1967/02/11;F;QD245411;PT;;2010/09/26 22:00:50;cash;active
LFigueiredo-Magalhães1895;Luís Figueiredo-Magalhães;lfigueiredo-magalhães1895@li3.pt;(351) 924 474 685;1987/07/02;M;UZ048182;PT;;2020/02/14 16:36:08;cash;inactive
RaAmorim;Rafael Amorim;raamorim@li3.pt;915626502;;M;ZT194342;PT;Avenida dos Moinhos, 35680-687 Aveiro;2012/08/07 08:06:18;debit_card;active
EmNeto;Ema Neto;emneto@;(351) 967796519;1993/09/06;F;IA020972;PT;R. da Ribeira, 77862-104 Loures;2014/03/26 17:39:50;credit_card;active
MaJesus1371;Marco Jesus;majesus1371@li3.pt;(351) 204 519 228;1952/09/09;M;CL365691;PT;Praça Pilar Amaral, 82989-002 Lisboa;2012/03/04 22:44:03;debit_card;CL365691
MáBorges;Mário Borges;máborges@li3.pt;910 844 978;1998/04/23;M;LM437148;PT;;2018/03/16 02:03:39;debit_card;active
MFonseca;Mara Fonseca;mfonseca@li3.pt;(351) 927285348;1982/12/12;F;;PT;Avenida de Sousa, 693307-192 São Salvador de Lordelo;2017/05/07 14:03:20;credit_card;active
DuartMartins1992;Duarte Martins;duartmartins1992@li3.pt;937861787;1975|10|12;M;US929608;PT;Alameda Rita Neves, 6617672-179 Trancoso;2013/12/16 03:57:25;cash;active
EnzCampos;Enzo da Campos;enzcampos@li3.pt;(351) 916962753;1981/12/11;M;VQ067327;PT;Praça Ariana Tavares, 710281-251 Peso da Régua;2013/10/13 21:59:57;debit_card;
SimRamos;Simão Ramos;simramos@li3.pt;963103407;1962/08/15;M;;PT;Praça Leite, 955371-746 Lisboa;2016/11/04 13:22:45;cash;active
SSá;;ssá@li3.pt;(351) 923484189;1950/10/09;F;WQ368137;PT;Av Garcia, 66842-065 Viana do Castelo;2015/09/05 22:37:30;debit_card;active
ValentPinheiro472;Valentina de Pinheiro;valentpinheiro472@li3.pt;(351) 921 069 580;2002/06/19;F;PU319719;PT;Travessa de Caselas, 4504942-053 Maia;2019/08/31 12:30:42;debit_card;
ÉrMorais513;Érica Morais;érmorais513@li3.pt;(351) 233 449 747;1984/09/14;F;TL844660;PT;;2011/01/03 02:02:02;cash;active
LúAmorim114;Lúcia da Amorim;lúamorim114@li3.pt;+351961427955;1954|08|22;F;JP842392;PT;R. Barros, S/N1070-557 Torres Novas;2011/08/02 02:26:28;credit_card;active
KSantos;Kelly Santos;ksantos@li3.pt;262215214;12/09/2015;F;SZ833339;PT;Travessa Márcio Costa, 904631-687 São Salvador de Lordelo;2020/06/13 09:40:07;credit_card;active
RafaeEsteves;Rafaela Esteves;rafaeesteves@li3.pt;(351) 919 482 091;2002/05/11;F;TG353367;PT;;2017/08/20 18:54:23;cash;active
FloPinheiro;Flor Pinheiro;flopinheiro@li3.pt;+351920541665;1983/04/09;F;MY533357;L;Alameda do Pinheiro, 274578-400 São João da Madeira;2014/08/07 09:08:12;debit_card;active
JulCoelho;Juliana Coelho;julcoelho@li3.pt;+351965159945;1996/04/09;F;AP105393;PT;Avenida Vicente, 95746-506 Vale de Cambra;2013/08/25 15:59:33;debit_card;AP105393
;Benedita Abreu;beneditabreu@li3.pt;261939295;2002/06/12;F;DO923470;PT;Praça de Vímara Peres, 155019-528 Porto;2015/03/22 01:20:24;credit_card;active
PetrCarvalho1905;Petra da Carvalho;petrcarvalho1905@li3.pt;(351) 922 535 240;1973/05/26;F;FZ901421;PT;R. Manuel Santos, 733958-056 São João da Madeira;2019/05/22 05:01:48;;active
ClaPires;Clara Pires;clapires@li3.pt;(351) 232768067;2005/08/02;F;IQ105192;GVJ;Av de Lourenço, 271214-781 Loures;2019/07/15 19:14:57;cash;active
LeonHenriques1837;Leonor Henriques;leonhenriques1837@li3.pt;967238965;1951/11/28;F;LX894842;PT;Alameda de Soares, 749288-204 Amadora;2017/08/11 07:42:38;debit_card;
AlLourenço719;Alice Lourenço;allourenço719@li3.pt;;1958/12/10;F;JV138616;PT;Praça de Vímara Peres, 534125-901 Ponte de Sor;2010/11/14 08:40:53;debit_card;active
Fabiana-Amaral;Fabiana-Erica Amaral;fabiana-amaral@li3.pt;(351) 967 507 643;1970/01/30;F;GF058678;PT;R. de Nogueira, 2764422-517 Pinhel;03/12/2021;credit_card;active
CristianPereira36;Cristiano Pereira;cristianpereira36@li3.pt;(351) 936221922;1990/01/30;M;JB235269;PT;Largo de Macedo, 668698-324 Castelo Branco;2015/07/03 09:27:17;cash;
VaCoelho1853;;vacoelho1853@li3.pt;936 472 191;2004/07/07;M;JB075752;PT;R. de Matias, 16313-264 Felgueiras;2015/11/08 13:18:34;credit_card;active
AlMatos1136;Alice Matos;almatos1136@li3.pt;+351250563314;02/02/2001;F;KE445000;PT;Alameda Ribeirinhos, S/N1030-999 Sabugal;2012/07/21 01:07:15;debit_card;active
CamilEsteves;Camila de Esteves;camilesteves@li3.pt;(351) 939659984;1990/09/30;F;ZM920042;PT;Av Pinho, S/N2203-219 Amarante;2018/09/20 16:27:57;debit_card;
PMonteiro590;Pilar Monteiro;pmonteiro590@li3.pt;+351939836540;1988/04/15;;WI455627;PT;Praça da Vila Expo, 598301-152 Braga;2010/12/09 15:11:47;debit_card;active
KéVieira1306;Kévim Vieira;kévieira1306atli3.pt;(351) 936057067;1985/04/29;M;JQ683806;PT;Alameda dos Anjos, 792820-305 Vila Nova de Santo André;2013/03/19 01:17:30;debit_card;active
IsaaGaspar;Isaac Gaspar;isaagaspar.li3.pt;(351) 923329878;1987/01/28;M;IG095889;PT;Rua de Batista, S/N0370-151 Fafe;2011/07/09 02:01:14;debit_card;active
CaetCoelho1339;Caetana Coelho;caetcoelho1339@li3.pt;(351) 929569240;1951/09/12;F;NS947130;AZI;R. de Lima, 6583123-967 Santiago do Cacém;2016/12/14 17:11:31;credit_card;active
FranLeite-Tavares1049;Francisca Leite-Tavares;franleite-tavares1049@li3.pt;(351) 938 849 184;1970/08/19;;JL399064;PT;Av Clara Azevedo, 847322-439 Vila Nova de Foz Côa;2011/11/18 06:04:12;debit_card;inactive
;Santiago do Neto;sanneto@li3.pt;933 973 756;1986/10/04;M;BW877450;PT;Av Salvador Pires, 508672-610 Vendas Novas;2014/12/22 19:02:20;credit_card;active
FrDomingues981;Frederico Domingues;frdomingues981@li3@pt;215326250;1971/11/16;M;DF517094;PT;Avenida Kevin Anjos, 30911-668 Pinhel;2017/07/18 18:22:52;debit_card;active
FábiVicente758;;fábivicente758@li3.pt;(351) 277528905;2000/04/19;M;RD294934;PT;Av Lourenço, 931814-945 Ribeira Grande;2018/08/28 01:42:02;cash;active
JAraújo870;Jaime Araújo;jaraújo870@li3.pt;964049700;1999/04/08;M;RF299787;H;Travessa Francisca Amorim, 855483-130 Espinho;2019/01/01 11:57:03;cash;inactive
;Lara Castro;larcastro@li3.pt;(351) 926 109 191;1983/08/22;F;ID583466;PT;Rua Miranda, S/N7424-882 Trofa;2012/03/31 15:27:15;cash;inactive
YasmiCastro1813;Yasmin Castro;yasmicastro1813@li3.pt;(351) 912089533;1982/09/28;F;QU154423;PT;Praça de Oliveira, 616052-567 Aveiro;2012/10/08 21:33:10;cash;
FrancFerreira;Francisca Ferreira;francferreira@li3.pt;(351) 933126298;2002/12/23;F;HY509789;PT;R. da Cidade da Praia, 7977368-737 Montemor-o-Novo;2010/12/16 14:01:08;credit_card;HY509789
BenjamRamos;Benjamim Ramos;benjamramos@li3.pt;;1961/01/10;M;SR490939;PT;Av de Vicente, 164582-618 São Mamede de Infesta;2018/12/07 05:54:52;debit_card;active
LaPires1506;Laura Pires;lapires1506@li3.pt;(351) 922763035;1997/06/20;F;ZD349585;PT;Travessa Oliveira, S/N3926-037 Figueira da Foz;2014/12/16 15:52:23;;active
;Wilson Baptista;wbaptista1600@li3.pt;278696380;1970/07/12;M;KK554254;PT;Alameda de Guerreiro, 152144-204 Setúbal;2013/06/22 14:14:56;credit_card;active
AlexandrAnjos-Abreu;Alexandre Anjos-Abreu;alexandranjos-abreu@li3.pt;(351) 276 371 519;1973/05/17;M;UW354085;PT;;2012/01/05 11:22:11;credit_card;active
NAzevedo;Naiara Azevedo;nazevedo@li3.pt;(351) 254 280 788;1975/12/09;F;QZ981616;PT;Avenida de Esteves, S/N0902-409 Esposende;2016/07/25 05:58:30;;inactive
MargarBatista399;Margarida Batista;margarbatista399@li3.pt;(351) 244 673 533;1954/06/05;;NH297103;PT;Av Silva, 900768-244 Portalegre;2019/11/16 13:57:06;credit_card;active
RicaBrito;Ricardo Brito;ricabrito@li3.pt;928195991;1965/12/03;M;;PT;Praça de Gustavo Eiffel, 2647013-691 Caldas da Rainha;2012/11/28 01:19:15;cash;active
MaMacedo;Mafalda Macedo;mamacedo@li3.pt;(351) 927872092;1952/03/30;F;;PT;Travessa de Azevedo, 2204287-424 Leiria;2016/03/31 16:40:36;debit_card;active
SoraiPereira;Soraia Pereira;soraipereira@li3.pt;(351) 926230415;1992/10/28;F;GR915711;PT;;2010/04/04 06:33:06;cash;active
GabrBarbosa569;Gabriel Barbosa;gabrbarbosa569@li3.pt;(351) 912045045;1953/10/23;M;KK687623;PT;Travessa Alexandre Fonseca, 3336889-141 Fafe;2019/09/22 08:54:08;;active
GDomingues;Gil de Domingues;gdomingues@li3.pt;+351917104844;1975/08/22;M;;PT;Travessa Anjos, 691863-374 Lourosa;2011/01/28 05:29:13;credit_card;active
MaPinheiro;Marcos Pinheiro;mapinheiro@li3.pt;+351275497182;2005/06/09;;HU303644;PT;R. de Teixeira, S/N6629-546 Ílhavo;2019/04/11 17:53:26;debit_card;active
JoaTorres1401;Joana Torres;joatorres1401atli3.pt;(351) 919638002;1971/10/23;F;RN594377;PT;Largo Nunes, 924171-561 Braga;2014/01/15 05:34:49;debit_card;active
RuTorres-Jesus355;Rui Torres-Jesus;rutorres-jesus355@li3.pt;+351967578850;1995/02/10;M;FD947177;PT;Rua Clara Vieira, 7539520-012 Vila Real de Santo António;2018/09/23 20:54:27;debit_card;FD947177
RitLourenço939;Rita da Lourenço;ritlourenço939@li3.pt;(351) 923 546 495;1998/04/23;;BN296613;PT;Largo do Monte, S/N2723-937 Marinha Grande;2010/09/08 21:20:15;credit_card;active
LeanMiranda;Leandro Miranda;leanmiranda@li3.pt;+351263211112;1996|12|31;M;XY311799;PT;Rua Machado, 93555-078 Santa Maria da Feira;2010/09/18 21:23:33;credit_card;active
AliMartins;Alice Martins;alimartins@li3.pt;929771146;1969/03/30;F;BO135064;PT;Alameda Henriques, 902004-623 Oliveira do Hospital;2011/01/16 14:37:41;debit_card;
FranciscaMaia;Francisca-Débora Maia;franciscamaia@li3.pt;(351) 938 966 550;1992/07/21;F;UR721297;PT;Avenida Branco, 755667-174 Santo Tirso;2017/12/20 00:31:59;;inactive
